system:time_start,lwe_thickness_csr,lwe_thickness_gfz,lwe_thickness_jpl
"Jan 1, 2014",8.822,9.919,8.333
"Mar 1, 2014",4.636,5.605,2.032
"Apr 1, 2014",3.342,5.918,1.525
"May 1, 2014",8.833,8.972,2.83
"Jun 1, 2014",10.902,12.201,8.271
"Aug 1, 2014",8.696,8.885,8.29
"Sep 1, 2014",10.721,11.647,10.142
"Oct 1, 2014",13.857,14.061,13.133
"Nov 1, 2014",17.875,16.426,15.251
"Jan 13, 2015",9.01,6.939,6.54
"Feb 1, 2015",1.313,2.022,1.2
"Mar 1, 2015",-0.136,2.283,-1.202
"Apr 1, 2015",6.688,6.351,4.133
"Apr 12, 2015",9.812,10.649,11.097
"Jun 29, 2015",8.933,8.344,9.949
"Aug 1, 2015",7.424,8.064,5.183
"Sep 1, 2015",5.874,7.018,5.41
"Dec 11, 2015",14.421,13.438,13.478
"Jan 4, 2016",9.447,10.944,8.366
"Jan 29, 2016",6.678,7.663,5.258
"Mar 1, 2016",5.154,3.328,6.94
"May 7, 2016",18.196,14.397,11.803
"Jun 1, 2016",10.998,11.908,12.628
"Jul 1, 2016",13.775,9.37,10.949
"Aug 8, 2016",4.956,6.968,7.912
"Nov 13, 2016",1.915,10.548,7.085
"Dec 11, 2016",4.81,6.057,5.384
